trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
38,False,"{'a': 0.96, 'e': 0.21198584153138014}",30,22,16.882027257849987,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.96, 'e': 0.20350640787012492}",20,16,7.7609417589618594,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.96, 'e': 0.19536615155531992}",30,21,13.381697825217064,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.96, 'e': 0.18755150549310712}",25,9,-10.330891666510162,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
42,False,"{'a': 0.96, 'e': 0.18004944527338282}",25,9,25.61135600119304,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.96, 'e': 0.1728474674624475}",25,7,-6.1392300498232135,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
44,False,"{'a': 0.96, 'e': 0.1659335687639496}",20,9,-20.06760714606424,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
45,False,"{'a': 0.96, 'e': 0.1592962260133916}",20,14,11.534135866003437,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.96, 'e': 0.15292437697285594}",20,4,-17.051035795250726,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.96, 'e': 0.1468074018939417}",25,9,8.446570048121375,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.96, 'e': 0.14093510581818403}",20,9,20.316915178681995,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.96, 'e': 0.13529770158545665}",25,6,37.72379463523888,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.96, 'e': 0.12988579352203838}",25,18,11.64887544091909,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.96, 'e': 0.12469036178115685}",25,17,-2.3772422966545426,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.96, 'e': 0.11970274730991057}",25,10,13.18460624587062,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.96, 'e': 0.11491463741751413}",30,12,25.992561343225717,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.96, 'e': 0.11031805192081356}",30,15,-16.796608959498982,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.96, 'e': 0.10590532984398102}",20,12,10.593028515729046,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.96, 'e': 0.10166911665022178}",20,8,19.99587617519833,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.96, 'e': 0.09760235198421291}",30,20,18.661253214309625,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
